Дата,"AD (A-прилет, D-вылет)",Терминал,Код а/к,Номер рейса,Плановое время,Код а/п,Аэропорт,Тип ВС,Номер места стоянки,Номер гейта,Количество пассажиров
24.08.2019,A,D,SU,2053,14:45,SVO,Тиват,32B,29,DGA_D,188
24.08.2019,D,D,N4,7649,14:10,DJE,Джерба,772,59,DGA_I,438
24.08.2019,D,D,SU,102,14:15,JFK,Нью-Йорк,77W,19A,DGA_I,390
24.08.2019,A,D,SU,2571,14:40,SVO,Лондон,320,25,DGA_D,115
24.08.2019,D,D,SU,2074,14:15,LCA,Ларнака,73H,36,DGA_I,144
24.08.2019,D,D,SU,2154,14:25,DUS,Дюссельдорф,32A,29,DGA_I,158
24.08.2019,A,D,SU,205,14:45,SVO,Пекин,77W,26,DGA_D,381
24.08.2019,D,D,SU,2326,14:30,MUC,Мюнхен,32A,24,DGA_I,159
24.08.2019,D,D,SU,2122,14:30,HER,Ираклион,73H,25,DGA_I,150
24.08.2019,D,D,SU,2694,14:35,AMS,Амстердам,31U,28,DGA_I,183
24.08.2019,A,D,FB,651,15:00,SVO,Бургас,733,46,DGA_D,146
24.08.2019,D,D,RL,7545,14:45,GZP,Аланья,73H,52,DGA_I,157
24.08.2019,D,D,SU,2408,14:30,FCO,Рим,320,30,DGA_I,131
24.08.2019,A,D,BT,428,14:40,SVO,Рига,CS3,36,DGA_D,120
24.08.2019,D,D,RL,7505,14:05,NBE,Энфида,77W,48A,DGA_I,397
24.08.2019,A,D,FB,659,15:05,SVO,Бургас,320,47,DGA_D,183
24.08.2019,D,D,VN,62,14:40,HAN,Ханой,789,26,DGA_I,259
24.08.2019,A,D,SU,2537,14:55,SVO,Дюссельдорф,32B,24,DGA_D,172
24.08.2019,D,D,LO,676,14:35,WAW,Варшава,E95,38,DGA_I,89
24.08.2019,D,D,SU,2628,14:50,BRU,Брюссель,73H,37,DGA_I,143
24.08.2019,A,D,SU,2417,15:05,SVO,Милан,320,30,DGA_D,117
24.08.2019,D,D,SU,2014,14:55,PRG,Прага,73H,35,DGA_I,126
24.08.2019,D,D,SU,234,15:05,DEL,Дели,332,21A,DGA_I,175
24.08.2019,A,D,AZ.,548,15:15,SVO,Рим,320,34,DGA_D,142
24.08.2019,A,D,SU,2483,15:30,SVO,Верона,320,32,DGA_D,128
24.08.2019,A,D,FV,6266,16:15,SVO,Коломбо,773,21A,DGA_D,317
24.08.2019,D,D,SU,2314,15:25,SXF,Берлин,32A,33,DGA_I,143
24.08.2019,A,D,SU,2307,15:35,SVO,Франкфурт,32B,28,DGA_D,170
24.08.2019,D,D,AF,1045,15:15,CDG,Париж,321,41,DGA_I,206
24.08.2019,D,D,SU,2656,15:30,FRA,Франкфурт,73H,27,DGA_I,159
24.08.2019,D,D,SU,202,15:35,PEK,Пекин,333,31,DGA_I,284
24.08.2019,D,D,N4,377,14:20,EVN,Ереван,332,56,DGA_I,239
24.08.2019,A,D,SU,2425,15:45,SVO,Болонья,320,37,DGA_D,131
24.08.2019,A,D,SU,2607,16:10,SVO,Лиссабон,73H,27,DGA_D,152
24.08.2019,D,D,BT,429,15:25,RIX,Рига,CS3,36,DGA_I,96
24.08.2019,A,D,SU,291,16:35,SVO,Ханой,77W,19A,DGA_D,389
24.08.2019,D,D,FB,652,15:50,BOJ,Бургас,733,46,DGA_I,149
24.08.2019,A,D,AZ.,546,15:50,SVO,Милан,320,35,DGA_D,113
24.08.2019,D,D,SU,2586,15:55,MXP,Милан,320,25,DGA_I,129
24.08.2019,A,D,SU,2131,16:00,SVO,Стамбул,73H,57,DGA_D,160
24.08.2019,D,D,FB,660,16:00,BOJ,Бургас,320,47,DGA_I,52
24.08.2019,A,D,KL,903,16:05,SVO,Амстердам,73H,40,DGA_D,157
24.08.2019,D,D,SU,2156,15:55,BOJ,Бургас,32B,29,DGA_I,83
24.08.2019,A,D,SU,1861,16:45,SVO,Ереван,32A,25,DGA_D,157
24.08.2019,D,D,SU,2164,16:10,VNO,Вильнюс,SU9,5,DGA_I,55
24.08.2019,A,D,SU,275,16:45,SVO,Пхукет,333,50,DGA_D,296
24.08.2019,D,D,RL,7705,15:45,AYT,Анталья,763,59,DGA_I,330
24.08.2019,D,D,SU,1862,16:15,EVN,Ереван,32B,24,DGA_I,173
24.08.2019,A,D,OK,894,16:15,SVO,Прага,73H,51,DGA_D,184
24.08.2019,A,D,SU,251,16:30,SVO,Сеул,77W,23,DGA_D,381
24.08.2019,A,D,SU,507,16:50,SVO,Тель-Авив,333,31,DGA_D,195
24.08.2019,D,D,SU,2146,16:35,AYT,Анталья,320,32,DGA_I,83
24.08.2019,A,D,SU,2411,16:45,SVO,Милан,320,32,DGA_D,125
24.08.2019,D,D,SU,2348,16:05,HAM,Гамбург,320,30,DGA_I,121
24.08.2019,D,D,SU,2352,16:45,VIE,Вена,32A,39,DGA_I,155
24.08.2019,A,D,BA,235,16:50,SVO,Лондон,321,36,DGA_D,120
24.08.2019,D,D,SU,2048,16:45,SPU,Сплит,32B,28,DGA_I,161
24.08.2019,A,D,SU,2111,17:15,SVO,Афины,32B,55,DGA_D,181
24.08.2019,A,D,SU,321,17:15,SVO,Мале,333,46,DGA_D,286
24.08.2019,D,D,AZ.,549,16:40,FCO,Рим,320,34,DGA_I,159
24.08.2019,A,D,SU,2041,17:05,SVO,Загреб,73H,35,DGA_D,128
24.08.2019,D,D,SU,2024,17:00,PRG,Прага,32A,56,DGA_I,129
24.08.2019,A,D,KE,923,16:50,SVO,Сеул,789,29A,DGA_D,259
24.08.2019,A,D,SU,2347,17:15,SVO,Гамбург,320,24,DGA_D,133
24.08.2019,D,D,SU,1842,16:50,MSQ,Минск,SU9,54,DGA_I,70
24.08.2019,D,D,KL,904,17:00,AMS,Амстердам,73H,40,DGA_I,181
24.08.2019,A,D,CA,909,16:55,SVO,Пекин,333,53A,DGA_D,260
24.08.2019,D,D,AZ.,547,16:55,MXP,Милан,320,35,DGA_I,152
24.08.2019,D,D,SU,2096,17:20,BEG,Белград,73H,27,DGA_I,87
24.08.2019,A,D,SU,123,17:20,SVO,Нью-Йорк,333,21A,DGA_D,230
24.08.2019,D,D,OK,895,17:05,PRG,Прага,73H,51,DGA_I,165
24.08.2019,A,D,MU,591,17:25,SVO,Шанхай,333,56,DGA_D,277
24.08.2019,D,D,SU,2138,17:40,IST,Стамбул,73H,61,DGA_I,85
24.08.2019,A,D,SU,2551,17:45,SVO,Амстердам,333,50,DGA_D,212
24.08.2019,A,D,SU,1881,17:50,SVO,Бишкек,32A,28,DGA_D,157
24.08.2019,A,D,HU,7985,18:05,SVO,Пекин,333,37A,DGA_D,248
24.08.2019,A,D,AF,1744,17:45,SVO,Париж,321,40,DGA_D,173
24.08.2019,D,D,SU,2468,17:55,BUD,Будапешт,320,37,DGA_I,124
24.08.2019,A,D,SU,2501,17:50,SVO,Мадрид,31U,33,DGA_D,168
24.08.2019,A,D,SU,2379,17:40,SVO,Марсель,321,27,DGA_D,150
24.08.2019,A,D,SU,2337,18:35,SVO,Штутгарт,320,32,DGA_D,122
24.08.2019,D,D,SU,2382,17:55,GVA,Женева,32B,33,DGA_I,168
24.08.2019,D,D,SU,2528,18:00,AGP,Малага,73H,38,DGA_I,141
24.08.2019,A,D,SU,2143,18:10,SVO,Анталья,32B,25,DGA_D,177
24.08.2019,D,D,N4,2735,17:45,CXR,Камрань,772,52,DGA_I,400
